Pid,Bid,Amount,Date,PaymentType
1,1,90.18041965,2020/04/11,CASH
2,2,4.230335221,2022/07/20,CARD
3,3,25.88069327,2022/04/12,CHEQUE
4,4,86.65547417,2019/11/11,CARD
5,5,22.84676846,2022/11/27,CARD
6,6,1.660770412,2021/05/05,CARD
7,7,51.03230891,2021/02/01,CHEQUE
8,8,42.66009344,2022/12/03,CHEQUE
9,9,68.62663959,2021/08/26,CARD
10,10,75.68786252,2020/01/05,CHEQUE
11,11,0.725580249,2020/12/25,CHEQUE
12,12,7.620653685,2020/05/27,CASH
13,13,67.42294954,2019/07/15,REVOLUT
14,14,67.43617143,2022/12/05,REVOLUT
15,15,97.8793269,2022/08/07,CHEQUE
16,16,34.16836022,2022/08/31,CASH
17,17,42.31059261,2021/08/08,CHEQUE
18,18,56.50105308,2022/07/18,CHEQUE
19,19,92.30558891,2020/08/11,CARD
20,20,7.134759685,2020/07/05,CHEQUE
21,21,89.97465674,2020/06/27,CARD
22,22,44.32159875,2021/05/31,CASH
23,23,84.45899017,2021/01/05,CHEQUE
24,24,70.38402449,2020/09/12,CARD
25,25,92.46489936,2020/10/28,CASH
26,26,31.86490416,2021/07/06,CASH
27,27,72.60771674,2021/05/10,CHEQUE
28,28,10.08133232,2021/01/04,CHEQUE
29,29,36.80678837,2023/01/19,CARD
30,30,93.22824743,2019/04/18,REVOLUT
31,31,45.52335449,2022/08/08,REVOLUT
